Date,EEM,EWJ,FXB,FXE,FXY,GLD,IEF,IWM,QQQ,SLV,SPY,TLT,USO,UUP,VGK
2012-08-15,29.99683952331543,28.529815673828125,141.9276123046875,116.26851654052734,124.51000213623047,155.6300048828125,80.01007080078125,66.74129486083984,59.75079345703125,26.969999313354492,111.14387512207031,84.28331756591797,281.5199890136719,18.98029899597168,28.126699447631836
2012-08-16,30.272245407104492,28.903982162475586,142.42108154296875,116.92545318603516,123.83999633789062,156.55999755859375,79.81541442871094,67.43946075439453,60.46189880371094,27.3700008392334,111.96395111083984,83.56512451171875,284.4800109863281,18.913469314575195,28.441307067871094
2012-08-17,30.123374938964844,29.12224578857422,142.00990295410156,116.71598815917969,123.45999908447266,156.72000122070312,79.91275787353516,67.91326141357422,60.72853088378906,27.229999542236328,112.11376190185547,83.9725570678711,287.6000061035156,18.94688606262207,28.46648406982422
2012-08-20,30.108484268188477,29.059877395629883,142.15609741210938,116.85881805419922,123.69999694824219,157.25999450683594,79.95770263671875,67.76361083984375,60.81742858886719,27.950000762939453,112.12162780761719,84.14518737792969,286.6400146484375,18.921825408935547,28.4035587310791
2012-08-21,30.063844680786133,29.059877395629883,142.7683868408203,117.96320343017578,123.97000122070312,158.8300018310547,80.02507019042969,67.72207641601562,60.57743835449219,28.3700008392334,111.78257751464844,84.5180892944336,287.8399963378906,18.796512603759766,28.617504119873047
2012-08-22,30.078723907470703,29.028703689575195,143.59095764160156,118.51542663574219,125.08000183105469,160.5399932861328,80.64659118652344,67.39793395996094,60.82631301879883,28.920000076293945,111.82990264892578,85.91304016113281,289.760009765625,18.70461654663086,28.592330932617188
2012-08-23,29.803319931030273,29.028703689575195,143.52691650390625,118.8676986694336,125.18000030517578,161.88999938964844,80.78886413574219,66.92417907714844,60.32856750488281,29.600000381469727,110.91517639160156,86.27212524414062,286.0799865722656,18.671201705932617,28.372095108032227
2012-08-24,29.810762405395508,28.997520446777344,142.98776245117188,118.39164733886719,124.79000091552734,161.97000122070312,80.75141906738281,67.10702514648438,60.70188522338867,29.739999771118164,111.58544921875,86.18925476074219,285.44000244140625,18.72968101501465,28.328054428100586
2012-08-27,29.505578994750977,28.903982162475586,142.90548706054688,118.28691101074219,124.69000244140625,161.36000061035156,80.9610824584961,67.30650329589844,60.79967498779297,29.739999771118164,111.6091079711914,86.693359375,284.8800048828125,18.74639129638672,28.4287166595459
2012-08-28,29.446025848388672,28.654539108276367,143.1431427001953,118.92481994628906,125.05999755859375,161.63999938964844,80.99102020263672,67.61402130126953,60.79967498779297,29.93000030517578,111.49870300292969,86.90055847167969,286.32000732421875,18.671201705932617,28.4035587310791
2012-08-29,29.304607391357422,28.748083114624023,143.26193237304688,118.55349731445312,124.80999755859375,160.58999633789062,80.93862915039062,67.82179260253906,60.79967498779297,29.75,111.58544921875,86.5207748413086,283.0400085449219,18.70461654663086,28.28400421142578
2012-08-30,28.962215423583984,28.218019485473633,142.84152221679688,118.35358428955078,124.86000061035156,160.52000427246094,81.08840942382812,67.14857482910156,60.18631362915039,29.440000534057617,110.7811279296875,86.96961975097656,282.0799865722656,18.74639129638672,27.969385147094727
2012-08-31,29.23761558532715,28.24920654296875,143.6640167236328,118.99150085449219,125.41000366210938,164.22000122070312,81.61250305175781,67.42288208007812,60.586326599121094,30.790000915527344,111.3094482421875,88.19883728027344,287.1199951171875,18.629432678222656,28.302881240844727
2012-09-04,29.073871612548828,27.87504005432129,143.6366424560547,118.87725830078125,125.19000244140625,164.47999572753906,81.42584228515625,68.24567413330078,60.52409362792969,31.360000610351562,111.20693969726562,88.11026000976562,284.0799865722656,18.654495239257812,28.22109031677246
2012-09-05,28.925003051757812,27.532054901123047,143.87423706054688,119.16285705566406,125.23999786376953,164.30999755859375,81.39579772949219,68.26232147216797,60.46189880371094,31.270000457763672,111.11233520507812,87.69502258300781,284.55999755859375,18.637788772583008,28.239961624145508
2012-09-06,29.56513214111328,27.906213760375977,144.203125,119.581787109375,124.4000015258789,164.88999938964844,80.84091186523438,69.5173568725586,61.80411911010742,31.670000076293945,113.36751556396484,86.23479461669922,281.8399963378906,18.587665557861328,29.095705032348633
2012-09-07,30.249908447265625,28.280370712280273,144.82460021972656,121.19081115722656,125.45999908447266,168.44000244140625,80.9459457397461,70.03268432617188,61.715206146240234,32.63999938964844,113.80916595458984,85.83345031738281,287.0400085449219,18.387168884277344,29.504709243774414
