Asset,Vol_Regime,%_Sample,Mean_RV,Persistence_Prob,Avg_Duration_Days
EEM,High,43.47436758450861,0.01883221761906716,0.942842430484037,17.495495495495497
EEM,Low,56.52563241549138,0.010443499802598092,0.9564183835182251,22.74774774774775
EWJ,High,49.003805686142826,0.014447938050966941,0.9456372772955688,18.394957983193276
EWJ,Low,50.99619431385718,0.008278172848957195,0.9481774264382961,19.142857142857142
FXB,High,46.09357510633535,0.006875152543420732,0.9446333171442448,18.06140350877193
FXB,Low,53.90642489366465,0.004459744062119168,0.9530535936850851,21.12280701754386
FXE,High,44.88471009626147,0.006607193252383739,0.9416458852867831,17.136752136752136
FXE,Low,55.11528990373853,0.004304669380458104,0.9528646891507517,21.042735042735043
FXY,High,45.44436982314753,0.0074099247001188535,0.9472906403940887,18.97196261682243
FXY,Low,54.555630176852475,0.0045857660397164825,0.9564860426929392,22.77570093457944
GLD,High,47.459144839937316,0.012720692804536058,0.9443133553563001,17.81512605042017
GLD,Low,52.540855160062684,0.0075578686057268555,0.9497230507030251,19.889830508474578
IEF,High,46.42937094246698,0.00499561005789857,0.9469623915139826,18.854545454545455
IEF,Low,53.57062905753301,0.003322276020045251,0.9544314381270903,21.754545454545454
IWM,High,45.310051488694874,0.018086644379432356,0.9491106719367589,19.650485436893202
IWM,Low,54.68994851130513,0.010062324730214926,0.9582309582309583,23.718446601941746
QQQ,High,49.115737631520034,0.016158012386472912,0.9567000911577028,23.094736842105263
QQQ,Low,50.88426236847996,0.008562413556601926,0.9586267605633803,23.926315789473684
SLV,High,48.533691515558544,0.02223485813192617,0.9547761882787263,21.8989898989899
SLV,Low,51.466308484441456,0.013461977423560067,0.9573727707698999,23.459183673469386
SPY,High,46.0711887172599,0.01424232351167315,0.9630709426627794,27.07894736842105
SPY,Low,53.9288112827401,0.006866859208840898,0.9688538205980066,31.69736842105263
TLT,High,47.23528094918289,0.011029676423072515,0.9469194312796209,18.839285714285715
TLT,Low,52.7647190508171,0.007354512466301261,0.9528862478777589,21.044642857142858
USO,High,45.91448399373181,0.02704735583774434,0.9453924914675768,18.3125
USO,Low,54.085516006268186,0.015319129479281645,0.9540372670807453,21.571428571428573
UUP,High,45.713006492052834,0.005829386828017561,0.9378060724779628,16.078740157480315
UUP,Low,54.286993507947166,0.003787024999785116,0.948019801980198,19.094488188976378
VGK,High,44.32505036937542,0.01681886918484214,0.953030303030303,21.29032258064516
VGK,Low,55.67494963062458,0.00917380802349929,0.9629927594529365,26.741935483870968
