Strategy,BH,BH,BH,TSMOM,TSMOM,TSMOM,VC_CONTRARIAN,VC_CONTRARIAN,VC_CONTRARIAN,VC_FLAT,VC_FLAT,VC_FLAT
RoundTripCost,0.0,0.0002,0.001,0.0,0.0002,0.001,0.0,0.0002,0.001,0.0,0.0002,0.001
Date,,,,,,,,,,,,
2008-04-01,,,,,,,,,,,,
2008-04-02,-0.00019711466936743195,-0.00019711466936743195,-0.00019711466936743195,0.0005615808499765263,0.0005615808499765263,0.0005615808499765263,-0.0005615808499765263,-0.0005615808499765263,-0.0005615808499765263,0.0,0.0,0.0
2008-04-03,0.006291791426392579,0.006291791426392579,0.006291791426392579,-0.00626971895845959,-0.00626971895845959,-0.00626971895845959,0.00626971895845959,0.00626971895845959,0.00626971895845959,0.0,0.0,0.0
2008-04-04,0.001249363178775056,0.001249363178775056,0.001249363178775056,-0.001127434707160167,-0.001127434707160167,-0.001127434707160167,0.001127434707160167,0.001127434707160167,0.001127434707160167,0.0,0.0,0.0
2008-04-07,0.005468767516417014,0.005468767516417014,0.005468767516417014,-0.005334861377247908,-0.005334861377247908,-0.005334861377247908,0.005334861377247908,0.005334861377247908,0.005334861377247908,0.0,0.0,0.0
2008-04-08,-0.007083294994608563,-0.007083294994608563,-0.007083294994608563,0.006949628320728535,0.006948053075392245,0.006941752094047081,-0.006949628320728535,-0.006951203566064826,-0.006957504547409989,0.0,0.0,0.0
2008-04-09,-0.012041429749247268,-0.012041429749247268,-0.012041429749247268,0.012066016865548956,0.012066016865548956,0.012066016865548956,-0.012066016865548956,-0.012066016865548956,-0.012066016865548956,0.0,0.0,0.0
2008-04-10,0.010926251673228624,0.010926251673228624,0.010926251673228624,-0.011000265523581427,-0.011001840768917718,-0.01100814175026288,0.011000265523581427,0.010998690278245135,0.010992389296899973,0.0,0.0,0.0
2008-04-11,-0.01986781295208918,-0.01986781295208918,-0.01986781295208918,0.019800538223190823,0.019800538223190823,0.019800538223190823,-0.019800538223190823,-0.019800538223190823,-0.019800538223190823,0.0,0.0,0.0
2008-04-14,-0.0029216707195551467,-0.0029216707195551467,-0.0029216707195551467,0.0028943338282845007,0.0028943338282845007,0.0028943338282845007,-0.0028943338282845007,-0.0028943338282845007,-0.0028943338282845007,0.0,0.0,0.0
2008-04-15,0.006280785494463597,0.006280785494463597,0.006280785494463597,-0.006201487941480997,-0.006201487941480997,-0.006201487941480997,0.006201487941480997,0.006201487941480997,0.006201487941480997,0.0,0.0,0.0
2008-04-16,0.02922231953856062,0.02922231953856062,0.02922231953856062,0.005573561798239629,0.005459867750943873,0.005005091561760854,-0.005573561798239629,-0.005687255845535382,-0.0061420320347184,0.0,0.0,0.0
2008-04-17,-0.006121261211004031,-0.006121261211004031,-0.006121261211004031,-0.004369485217273159,-0.0043742610610212045,-0.004393364436013387,0.004369485217273159,0.004364709373525113,0.004345605998532931,0.0,0.0,0.0
2008-04-18,0.0215644730091463,0.0215644730091463,0.0215644730091463,0.02154994191902437,0.02146994191902437,0.02114994191902437,-0.02154994191902437,-0.02162994191902437,-0.02194994191902437,0.0,0.0,0.0
2008-04-21,0.005177472987850741,0.005177472987850741,0.005177472987850741,0.005193831723463093,0.005193831723463093,0.005193831723463093,-0.00011210965580087692,-0.00021510071939322075,-0.0006270649737625976,0.002540861033831108,0.002489365502034936,0.0022833833748502476
2008-04-22,-0.012002823906761427,-0.012002823906761427,-0.012002823906761427,-0.011995066783586106,-0.011995066783586106,-0.011995066783586106,0.0023765857308542335,0.0023765857308542335,0.0023765857308542335,-0.004809240526365937,-0.004809240526365937,-0.004809240526365937
2008-04-23,0.011004433899796958,0.011004433899796958,0.011004433899796958,0.010989837500800998,0.010989837500800998,0.010989837500800998,0.0012337871219610043,0.0012322118766247138,0.0012259108952795508,0.006111812311381001,0.0061110246887128555,0.0061078741980402735
