Asset,Vol_Regime,-1.0,1.0
EEM,High,0.19325141512251265,-0.0870604584405059
EEM,Low,-0.1765042796616891,0.12524769454267687
EWJ,High,0.07230008601322245,0.0174771526936501
EWJ,Low,-0.008741519095298808,0.10857793074436697
FXB,High,-0.0415527386630683,0.023609277337071667
FXB,Low,-0.039634203358192815,0.009931567075831586
FXE,High,-0.04902571108882415,0.030515782863864853
FXE,Low,-0.028451413842910816,0.009084140512683397
FXY,High,-0.06123441790715715,0.06387749654105468
FXY,Low,-0.05691234775251096,-0.020524150843518375
GLD,High,0.1392495394265161,0.09893228357093199
GLD,Low,0.0380395412945749,0.12815597196378942
IEF,High,0.013161320073803702,0.048312403371234616
IEF,Low,0.0117398367771187,0.03594309936089588
IWM,High,0.154270976535851,0.06528118253140687
IWM,Low,0.2959354745351212,0.07773825108851151
QQQ,High,0.31357562178188597,0.14338547998389933
QQQ,Low,-0.12970955734536135,0.1716151391520368
SLV,High,0.2208577098907537,0.24580050259023078
SLV,Low,0.1421812288403531,-0.06356800054355256
SPY,High,0.16140428006197685,0.1542550023052405
SPY,Low,0.17028409684800508,0.10030602022151888
TLT,High,0.017184168707733878,0.1368301158204084
TLT,Low,-0.00696896754936624,-0.001780251926833099
USO,High,-0.334844027953118,0.04424390496788897
USO,Low,0.11031149051640651,0.043570782599300015
UUP,High,0.03423714008773379,0.03938011970739661
UUP,Low,-0.00990195124125711,0.02900864786482941
VGK,High,0.13894423556159363,0.051651467409576525
VGK,Low,-0.13495470219533523,0.09961064286888865
