Asset,Strategy,RoundTripCost,Annualised Return,Annualised Volatility,Sharpe,Sortino,Skew,Max Drawdown,Avg |Δw|
EEM,BH,0.0,0.03145189402154047,0.2750400893099149,0.24945528699775765,0.3280276206561997,0.6715128966607421,-0.6428303878235857,0.0
EEM,BH,0.0002,0.03145189402154047,0.2750400893099149,0.24945528699775765,0.3280276206561997,0.6715128966607421,-0.6428303878235857,0.0
EEM,BH,0.001,0.03145189402154047,0.2750400893099149,0.24945528699775765,0.3280276206561997,0.6715128966607421,-0.6428303878235857,0.0
EEM,TSMOM,0.0,-0.02749851685479887,0.27507326443188934,0.03801906859185514,0.04639820739190096,-0.8367978881642268,-0.7610733594721453,0.09809630459126539
EEM,TSMOM,0.0002,-0.029902742563478468,0.2750844873291351,0.029033101908191986,0.035437050966827616,-0.8367860894560236,-0.7668070651217123,0.09809630459126539
EEM,TSMOM,0.001,-0.03946512161099103,0.2751464625385867,-0.006903005204626299,-0.008428604575455401,-0.8366142765978365,-0.788408881365045,0.09809630459126539
EEM,VC_CONTRARIAN,0.0,0.11415160072094799,0.27492092850774397,0.5298418416981663,0.7218976257505076,0.7828465141175242,-0.5253445639878966,0.1881298992161254
EEM,VC_CONTRARIAN,0.0002,0.10888692184858262,0.274914484481338,0.5126132202003113,0.6987502242446515,0.7835403670165645,-0.5253445639878966,0.1881298992161254
EEM,VC_CONTRARIAN,0.001,0.08806549583811485,0.2749199542687383,0.44364022919035284,0.605372835170462,0.7860522500501165,-0.5253445639878965,0.1881298992161254
EEM,VC_FLAT,0.0,0.07049211739801486,0.14100089168296423,0.5536228832551321,0.6189277317232074,0.08816754006554094,-0.31120076501854665,0.08891377379619261
EEM,VC_FLAT,0.0002,0.06809829126461064,0.14099405385882235,0.5377616482971517,0.5986644280944569,0.08745206933233496,-0.3140175342991678,0.08891377379619261
EEM,VC_FLAT,0.001,0.05857297665171579,0.1409882259129773,0.474228913817869,0.5302163654176674,0.08455618343195036,-0.33030274338051246,0.08891377379619261
EWJ,BH,0.0,0.04527354973229114,0.20536602937431833,0.3181692027739911,0.4265166677881598,0.24385398800469574,-0.4967325330004052,0.0
EWJ,BH,0.0002,0.04527354973229114,0.20536602937431833,0.3181692027739911,0.4265166677881598,0.24385398800469574,-0.4967325330004052,0.0
EWJ,BH,0.001,0.04527354973229114,0.20536602937431833,0.3181692027739911,0.4265166677881598,0.24385398800469574,-0.4967325330004052,0.0
EWJ,TSMOM,0.0,0.006473629433670025,0.2053998822141994,0.1347490507452624,0.1720702103600089,-0.5994474446921136,-0.42791219582398743,0.1303471444568869
EWJ,TSMOM,0.0002,0.003175480238893691,0.20539111269113627,0.11876573573584727,0.15171459446250518,-0.5989522271048527,-0.45844847266863975,0.1303471444568869
EWJ,TSMOM,0.001,-0.009915892880008936,0.20538593495401508,0.05481084407336734,0.07007589679103947,-0.5966925077649132,-0.568526360740166,0.1303471444568869
EWJ,VC_CONTRARIAN,0.0,0.039576559075309437,0.20537268895984645,0.29135181118503045,0.4119789700163457,0.4701074464426555,-0.5243424544895023,0.2203807390817469
EWJ,VC_CONTRARIAN,0.0002,0.03382072283719317,0.2053743600261789,0.2643141714101655,0.3738233262540769,0.4715874591098932,-0.5360078275780895,0.2203807390817469
EWJ,VC_CONTRARIAN,0.001,0.011103067278120715,0.2054291615483157,0.1561314331848359,0.22097137458979899,0.47714004600834703,-0.5798986288053263,0.2203807390817469
EWJ,VC_FLAT,0.0,0.03832400162726923,0.1108176195111657,0.39485212024034516,0.40930605893330513,-0.23067248175207508,-0.25801558684586556,0.11444568868980963
EWJ,VC_FLAT,0.0002,0.0353353609448428,0.11081190080790447,0.36885195674866295,0.3796613260685302,-0.23327668730230153,-0.26407952041378835,0.11444568868980963
EWJ,VC_FLAT,0.001,0.023462039998682238,0.11082602836416407,0.2647360422217579,0.27375406701511995,-0.24348554016515853,-0.2878532776051408,0.11444568868980963
FXB,BH,0.0,-0.017314044779210058,0.0968207072056904,-0.13178891896858846,-0.17572731733073252,-0.9211866141427159,-0.47905998201312516,0.0
FXB,BH,0.0002,-0.017314044779210058,0.0968207072056904,-0.13178891896858846,-0.17572731733073252,-0.9211866141427159,-0.47905998201312516,0.0
FXB,BH,0.001,-0.017314044779210058,0.0968207072056904,-0.13178891896858846,-0.17572731733073252,-0.9211866141427159,-0.47905998201312516,0.0
FXB,TSMOM,0.0,0.02304455698443575,0.0968085700237998,0.28381417047417445,0.40222276157478265,-0.3086552635431315,-0.19030722279063017,0.10033594624860022
FXB,TSMOM,0.0002,0.02046210564261397,0.09680614197752757,0.25770827966025894,0.3653103407049665,-0.30741531739080885,-0.19740401278983066,0.10033594624860022
FXB,TSMOM,0.001,0.01019221542310289,0.09684603909103377,0.15319310632361677,0.21736157266027611,-0.30208070151822236,-0.2314913593998441,0.10033594624860022
