Asset,Mean_Daily,Std_Daily,N,Mean_Annualised,t_stat,p_value
EEM,0.0011650374849266347,,,0.29358944620151195,2.5390712027526803,0.011114720009497356
EWJ,0.0004707409993923923,,,0.11862673184688285,1.3722974191417951,0.16997086874894074
FXB,-5.48819140661493e-05,,,-0.013830242344669624,-0.3020327184262331,0.762627121275187
FXE,-9.275923309847063e-05,,,-0.0233753267408146,-0.5263110014589156,0.598672140428206
FXY,-0.00015302829946341228,,,-0.038563131464779896,-0.877410339283778,0.3802637992979043
GLD,0.0001848795987555074,,,0.046589658886387865,0.6069137147082514,0.5439081759876456
IEF,-6.9307945314590744e-06,,,-0.0017465602219276868,-0.05296967643299121,0.957756068482814
IWM,0.000236923158845295,,,0.059704636029014345,0.5515721225540916,0.5812415405329563
QQQ,0.0008820239200426079,,,0.22227002785073718,2.375769715479512,0.01751238842399129
SLV,-0.00048553102534757743,,,-0.1223538183875895,-0.8212742645523881,0.4114900632992008
SPY,0.0002942228786733054,,,0.07414416542567297,0.924440619700731,0.35525695433473803
TLT,-0.0002689265885925844,,,-0.06776950032533127,-0.90684134683843,0.3644907015026333
USO,-0.0009418684820193457,,,-0.2373508574688751,-1.2348136774442005,0.21689985583134774
UUP,4.370022296082865e-05,,,0.011012456186128821,0.27932855151795155,0.7799926970028144
VGK,0.0006559579815361178,,,0.1653014113471017,1.5970298145634336,0.11025906147555459
