,Out-Of-Sample,Out-Of-Sample,Out-Of-Sample,Out-Of-Sample,Out-Of-Sample,Out-Of-Sample
Strategy,VC_CONTRARIAN,VC_CONTRARIAN,VC_CONTRARIAN,VC_FLAT,VC_FLAT,VC_FLAT
Cost_bps,0,2,10,0,2,10
Metric,,,,,,
Annualised Return,0.1031092396619715,0.09820463211875397,0.0787990323094323,0.07355074177567733,0.071386984439604,0.06277422185592085
Annualised Volatility,0.1953809870140733,0.19537436669314295,0.19536413318884405,0.09498890606753252,0.0949860984987308,0.0949856205350529
Max Drawdown,-0.4473845285258379,-0.447388128290486,-0.4474025271732456,-0.15792951851766523,-0.15957838199423413,-0.1661426541561446
Sharpe,0.5996853622415654,0.5768829715962867,0.4856175630565295,0.7947658891067955,0.7735406574957635,0.6885492300386111
Skew,0.6297451998897333,0.6313204033161696,0.6374824768458989,-0.13803996409648311,-0.13837589024473002,-0.13966598258255394
Sortino,0.7607049971332984,0.7327078502985894,0.6191230718847438,0.9023833819720264,0.8871773977924938,0.7929825839259886
