Strategy,RoundTripCost,Annualised Return,Annualised Volatility,Sharpe,Sortino,Skew,Max Drawdown
BH,0.0,0.09460068236677599,0.22463575640880995,0.514682133388545,0.6556512343979435,0.1947032022048651,-0.552246429061996
BH,0.0002,0.09460068236677599,0.22463575640880995,0.514682133388545,0.6556512343979435,0.1947032022048651,-0.552246429061996
BH,0.001,0.09460068236677599,0.22463575640880995,0.514682133388545,0.6556512343979435,0.1947032022048651,-0.552246429061996
TSMOM,0.0,0.013177613599252735,0.20283279358439904,0.1667421041823136,0.19317999252978163,-0.6915836111502068,-0.5389849121956005
TSMOM,0.0002,0.01074454897939403,0.2028358628596785,0.15488917337060823,0.17950209807587394,-0.6910453342974496,-0.5494327979366787
TSMOM,0.001,0.0010686695229349397,0.20285639109564838,0.10747666526912582,0.12478128345636944,-0.6888277492352491,-0.5889173941912751
VC_CONTRARIAN,0.0,0.1031092396619715,0.1953809870140733,0.5996853622415654,0.7607049971332984,0.6297451998897333,-0.4473845285258379
VC_CONTRARIAN,0.0002,0.09820463211875397,0.19537436669314295,0.5768829715962867,0.7327078502985894,0.6313204033161696,-0.447388128290486
VC_CONTRARIAN,0.001,0.0787990323094323,0.19536413318884405,0.4856175630565295,0.6191230718847438,0.6374824768458989,-0.4474025271732456
VC_FLAT,0.0,0.07355074177567733,0.09498890606753252,0.7947658891067955,0.9023833819720264,-0.13803996409648311,-0.15792951851766523
VC_FLAT,0.0002,0.071386984439604,0.0949860984987308,0.7735406574957635,0.8871773977924938,-0.13837589024473002,-0.15957838199423413
VC_FLAT,0.001,0.06277422185592085,0.0949856205350529,0.6885492300386111,0.7929825839259886,-0.13966598258255394,-0.1661426541561446
