Asset,Vol_Regime,Momentum_Signal,Mean,Std,Skew,Kurtosis
USO,Low,-1.0,0.11031149051640651,0.018893073396266648,-0.1742087113553235,3.717668628529103
USO,Low,1.0,0.043570782599300015,0.016906343270071955,-0.36392030214660515,4.916523647735751
UUP,High,-1.0,0.03423714008773379,0.00503151992730487,0.10160008757598035,4.350320732613085
UUP,High,1.0,0.03938011970739661,0.006153971274500265,0.029875581628004327,6.454414031515922
UUP,Low,-1.0,-0.00990195124125711,0.004542049813488304,0.03733217157547732,4.972471254893568
UUP,Low,1.0,0.02900864786482941,0.004327257188269725,-0.44892586853034266,6.7935949805083915
VGK,High,-1.0,0.13894423556159363,0.02273933307505633,-0.15270671086652163,8.664817736781092
VGK,High,1.0,0.051651467409576525,0.012469275276054069,-1.6626090871476558,13.838251965436891
VGK,Low,-1.0,-0.13495470219533523,0.011656502566917297,-0.08213455246644581,4.820005680663695
VGK,Low,1.0,0.09961064286888865,0.01030978437945869,-0.25283070957696707,4.941116700704573
